nr,nafn,breidd,lengd,svaedi,reference
1,Horn,662740,222430,meginland,Lög 1979_041
2,Ásbúðarrif,660810,201100,meginland,Lög 1979_041
3,Siglunes,661190,184990,meginland,Lög 1979_041
4,Flatey,661030,175030,meginland,Lög 1979_041
5,Lágey,661780,170680,meginland,Lög 1979_041
6,Rauðinúpur,663070,163240,meginland,Lög 1979_041
7,Rifstangi,663230,161180,meginland,Lög 1979_041
8,Hraunhafnartangi,663220,160150,meginland,Lög 1979_041
9,Langanes,662270,143190,meginland,Lög 1979_041
10,Glettinganes,653050,133630,meginland,Lög 1979_041
11,Norðfjarðarhorn,651000,133080,meginland,Lög 1979_041
12,Gerpir,650470,132960,meginland,Lög 1979_041
13,Hólmur,645890,133060,meginland,Lög 1979_041
14,Setusker,645770,133150,meginland,Lög 1979_041
15,Þursasker,645410,133680,meginland,Lög 1979_041
16,Ystiboði,643520,140150,meginland,Lög 1979_041
17,Selsker,643280,140700,meginland,Lög 1979_041
18,Hvítingar,642390,142800,meginland,Lög 1979_041
19,Stokksnes,641410,145840,meginland,Lög 1979_041
20,Hrollaugseyjar,640170,155870,meginland,Lög 1979_041
21,Tvísker,635570,161130,meginland,Lög 1979_041
22,Ingólfshöfði,634780,163850,meginland,Lög 1979_041
23,Hvalsíki,634410,173350,meginland,Lög 1979_041
24,MeðallandssandurI,633240,175560,meginland,Lög 1979_041
25,MeðallandssandurII,633060,175990,meginland,Lög 1979_041
26,Mýrnatangi,632740,181180,meginland,Lög 1979_041
27,Kötlutangi,632340,184280,meginland,Lög 1979_041
28,Lundadrangur,632350,190750,meginland,Lög 1979_041
29,Surtsey,631770,203620,meginland,Lög 1979_041
30,Eldeyjardrangur,634380,225940,meginland,Lög 1979_041
31,Geirfugladrangur,634070,231710,meginland,Lög 1979_041
32,Skálasnagi,645130,240250,meginland,Lög 1979_041
33,Bjargtangar,653020,243210,meginland,Lög 1979_041
34,Kópanes,654840,240600,meginland,Lög 1979_041
35,Barði,660370,234740,meginland,Lög 1979_041
36,Straumnes,662570,230840,meginland,Lög 1979_041
37,Kögur,662830,225550,meginland,Lög 1979_041
38,Horn,662790,222820,meginland,Lög 1979_041
NA,Kolbeinsey,670880,184060,eyja,Lög 1979_041
NA,Hvalbakur,643580,131660,eyja,Lög 1979_041
NA,Grímsey,663240,180000,eyja,Einar Hjörleifsson

